Site.ID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionRelativeFrequency
CRMS0331,Wetland: Palustrine Emergent Methane Emissions,Site ID Wetland: Palustrine Emergent,10,10,14.5,1
CRMS0331,Wetland: Palustrine Emergent Methane Emissions,Site ID Wetland: Palustrine Emergent,16,16,14.5,1
CRMS0337,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,9,9,0,1
CRMS0337,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,27,27,0,1
CRMS0337,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,45,45,0,1
CRMS0337,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,63,63,0,1
CRMS0337,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,81,81,0,1
CRMS0337,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,99,99,0,1
CRMS0337,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,117,117,0,1
CRMS0337,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,135,135,0,1
CRMS0337,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,153,153,0,1
CRMS0367,Wetland: Palustrine Emergent Methane Emissions,Site ID Wetland: Palustrine Emergent,5,5,14.5,1
CRMS0367,Wetland: Palustrine Emergent Methane Emissions,Site ID Wetland: Palustrine Emergent,11,11,14.5,1
CRMS0367,Wetland: Palustrine Emergent Methane Emissions,Site ID Wetland: Palustrine Emergent,17,17,14.5,1
CRMS0377,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,10,10,0,1
CRMS0377,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,28,28,0,1
CRMS0377,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,46,46,0,1
CRMS0377,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,64,64,0,1
CRMS0377,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,82,82,0,1
CRMS0377,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,100,100,0,1
CRMS0377,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,118,118,0,1
CRMS0377,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,136,136,0,1
CRMS0377,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,154,154,0,1
CRMS0398,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,11,11,14.5,1
CRMS0398,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,29,29,14.5,1
CRMS0398,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,47,47,14.5,1
CRMS0398,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,65,65,14.5,1
CRMS0398,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,83,83,14.5,1
CRMS0398,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,101,101,14.5,1
CRMS0398,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,119,119,14.5,1
CRMS0398,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,137,137,14.5,1
CRMS0398,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,155,155,14.5,1
CRMS0399,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,12,12,14.5,1
CRMS0399,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,30,30,14.5,1
CRMS0399,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,48,48,14.5,1
CRMS0399,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,66,66,14.5,1
CRMS0399,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,84,84,14.5,1
CRMS0399,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,102,102,14.5,1
CRMS0399,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,120,120,14.5,1
CRMS0399,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,138,138,14.5,1
CRMS0399,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,156,156,14.5,1
CRMS2825,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,13,13,14.5,1
CRMS2825,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,31,31,14.5,1
CRMS2825,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,49,49,14.5,1
CRMS2825,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,67,67,14.5,1
CRMS2825,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,85,85,14.5,1
CRMS2825,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,103,103,14.5,1
CRMS2825,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,121,121,14.5,1
CRMS2825,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,139,139,14.5,1
CRMS2825,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,157,157,14.5,1
CRMS3166,Wetland: Palustrine Emergent Methane Emissions,Site ID Wetland: Palustrine Emergent,6,6,14.5,1
CRMS3166,Wetland: Palustrine Emergent Methane Emissions,Site ID Wetland: Palustrine Emergent,12,12,14.5,1
CRMS3166,Wetland: Palustrine Emergent Methane Emissions,Site ID Wetland: Palustrine Emergent,18,18,14.5,1
CRMS3565,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,14,14,14.5,1
CRMS3565,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,32,32,14.5,1
CRMS3565,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,50,50,14.5,1
CRMS3565,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,68,68,14.5,1
CRMS3565,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,86,86,14.5,1
CRMS3565,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,104,104,14.5,1
CRMS3565,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,122,122,14.5,1
CRMS3565,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,140,140,14.5,1
CRMS3565,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,158,158,14.5,1
CRMS3617,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,15,15,14.5,1
CRMS3617,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,33,33,14.5,1
CRMS3617,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,51,51,14.5,1
CRMS3617,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,69,69,14.5,1
CRMS3617,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,87,87,14.5,1
CRMS3617,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,105,105,14.5,1
CRMS3617,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,123,123,14.5,1
CRMS3617,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,141,141,14.5,1
CRMS3617,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,159,159,14.5,1
CRMS4045,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,16,16,14.5,1
CRMS4045,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,34,34,14.5,1
CRMS4045,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,52,52,14.5,1
CRMS4045,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,70,70,14.5,1
CRMS4045,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,88,88,14.5,1
CRMS4045,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,106,106,14.5,1
CRMS4045,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,124,124,14.5,1
CRMS4045,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,142,142,14.5,1
CRMS4045,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,160,160,14.5,1
CRMS4245,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,17,17,14.5,1
CRMS4245,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,35,35,14.5,1
CRMS4245,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,53,53,14.5,1
CRMS4245,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,71,71,14.5,1
CRMS4245,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,89,89,14.5,1
CRMS4245,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,107,107,14.5,1
CRMS4245,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,125,125,14.5,1
CRMS4245,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,143,143,14.5,1
CRMS4245,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,161,161,14.5,1
CRMS4455,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,18,18,0,1
CRMS4455,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,36,36,0,1
CRMS4455,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,54,54,0,1
CRMS4455,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,72,72,0,1
CRMS4455,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,90,90,0,1
CRMS4455,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,108,108,0,1
CRMS4455,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,126,126,0,1
CRMS4455,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,144,144,0,1
CRMS4455,Wetland: Estuarine Emergent Methane Emissions,Site ID Wetland: Estuarine Emergent,162,162,0,1
