DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionRelativeFrequency
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,15,15,346.23172611464975,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,5,5,911.1648917197454,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Palustrine Emergent,3,3,353.0928152866243,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Palustrine Emergent,4,4,600.5317579617835,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,6,6,471.17113375796185,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Palustrine Emergent,5,5,530.7042802547771,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,7,7,142.1258598726115,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,16,16,347.11259235668797,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,8,8,518.4414012738854,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,9,9,46.268866242038214,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Palustrine Emergent,6,6,122.50766878980892,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,10,10,331.74888535031846,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,11,11,99.24099363057324,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,17,17,391.29914649681535,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,18,18,102.31763057324841,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Fine Roots,Site ID Wetland: Estuarine Emergent,12,12,354.11273885350323,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,13,13,606.9507688000001,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,1,1,99.6337068,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Palustrine Emergent,1,1,265.1979264,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,2,2,329.30417364000004,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,14,14,194.2172506,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,3,3,253.65294079999998,1
