Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Developed: Medium Intensity,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Decay: AG Fast -> AG Slow [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Decay: AG Medium -> AG Slow [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Decay: AG Very Fast -> AG Slow [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Decay: BG Fast -> BG Slow [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Decay: BG Very Fast -> BG Slow [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Decay: Snag Branch -> AG Slow [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Decay: Snag Stem -> AG Slow [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Emission: AG Fast -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Emission: AG Medium -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Emission: AG Slow -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Emission: AG Very Fast -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Emission: BG Fast -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Emission: BG Slow -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Emission: BG Very Fast -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Emission: Snag Branch -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Emission: Snag Stem -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Net Growth Forest: Atmosphere -> Foliage [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Net Growth Forest: Atmosphere -> Merchantable [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Net Growth Forest: Atmosphere -> Other Wood [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Transfer: AG Slow -> BG Slow [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Transfer: Snag Branch -> AG Fast [Type],,0,,,,,
,,,,,Developed: Medium Intensity,,,Transfer: Snag Stem -> AG Medium [Type],,0,,,,,
,,,,,Developed: Open Space,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0,,,,,
,,,,,Developed: Open Space,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0,,,,,
,,,,,Developed: Open Space,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0,,,,,
,,,,,Developed: Open Space,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0,,,,,
,,,,,Developed: Open Space,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0,,,,,
,,,,,Developed: Open Space,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0,,,,,
,,,,,Developed: Open Space,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0,,,,,
,,,,,Developed: Open Space,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0,,,,,
,,,,,Developed: Open Space,,,Decay: AG Fast -> AG Slow [Type],,0,,,,,
,,,,,Developed: Open Space,,,Decay: AG Medium -> AG Slow [Type],,0,,,,,
,,,,,Developed: Open Space,,,Decay: AG Very Fast -> AG Slow [Type],,0,,,,,
,,,,,Developed: Open Space,,,Decay: BG Fast -> BG Slow [Type],,0,,,,,
,,,,,Developed: Open Space,,,Decay: BG Very Fast -> BG Slow [Type],,0,,,,,
,,,,,Developed: Open Space,,,Decay: Snag Branch -> AG Slow [Type],,0,,,,,
,,,,,Developed: Open Space,,,Decay: Snag Stem -> AG Slow [Type],,0,,,,,
,,,,,Developed: Open Space,,,Emission: AG Fast -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Open Space,,,Emission: AG Medium -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Open Space,,,Emission: AG Slow -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Open Space,,,Emission: AG Very Fast -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Open Space,,,Emission: BG Fast -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Open Space,,,Emission: BG Slow -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Open Space,,,Emission: BG Very Fast -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Open Space,,,Emission: Snag Branch -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Open Space,,,Emission: Snag Stem -> Atmosphere [Type],,0,,,,,
,,,,,Developed: Open Space,,,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0,,,,,
,,,,,Developed: Open Space,,,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0,,,,,
,,,,,Developed: Open Space,,,Net Growth Forest: Atmosphere -> Foliage [Type],,0,,,,,
,,,,,Developed: Open Space,,,Net Growth Forest: Atmosphere -> Merchantable [Type],,0,,,,,
,,,,,Developed: Open Space,,,Net Growth Forest: Atmosphere -> Other Wood [Type],,0,,,,,
,,,,,Developed: Open Space,,,Transfer: AG Slow -> BG Slow [Type],,0,,,,,
,,,,,Developed: Open Space,,,Transfer: Snag Branch -> AG Fast [Type],,0,,,,,
,,,,,Developed: Open Space,,,Transfer: Snag Stem -> AG Medium [Type],,0,,,,,
