River ID,Site ID,Microtopography,Depth,Replicate,Sampling Event,Percent Mass Remaining
1,1,O,25,1,T5,76.93326772
1,1,O,50,1,T5,37.10989019
1,1,O,10,2,T5,79.80660455
1,1,O,25,2,T5,57.47342404
1,1,O,50,2,T5,69.3556603
1,1,U,10,1,T5,80.21087433
1,1,U,25,1,T5,69.73277103
1,1,U,50,1,T5,82.08755793
1,1,U,10,2,T5,80.09697723
1,1,U,25,2,T5,75.0901555
1,1,U,50,2,T5,.
1,2,NA,10,1,T5,69.1334839
1,2,NA,25,1,T5,81.35053949
1,2,NA,50,1,T5,95.40246558
1,2,NA,10,2,T5,53.67569101
1,2,NA,25,2,T5,57.18290029
1,2,NA,50,2,T5,90.11787534
1,3,NA,10,1,T5,78.90418653
1,3,NA,25,1,T5,75.30007778
1,3,NA,50,1,T5,48.89314186
1,3,NA,10,2,T5,62.64315302
1,3,NA,25,2,T5,86.59147694
1,3,NA,50,2,T5,53.15510337
1,4,NA,10,1,T5,.
1,4,NA,25,1,T5,.
1,4,NA,50,1,T5,.
1,4,NA,10,2,T5,.
1,4,NA,25,2,T5,.
1,4,NA,50,2,T5,.
2,1,O,10,1,T5,84.44531672
2,1,O,25,1,T5,88.09962717
2,1,O,50,1,T5,81.67352021
2,1,O,10,2,T5,94.10861014
2,1,O,25,2,T5,83.57513339
2,1,O,50,2,T5,86.09041392
2,1,U,10,1,T5,46.37359434
2,1,U,25,1,T5,86.8965045
2,1,U,50,1,T5,81.12506585
2,1,U,10,2,T5,78.08003869
2,1,U,25,2,T5,89.43566419
2,1,U,50,2,T5,83.60203067
2,2,NA,10,1,T5,58.96891811
2,2,NA,25,1,T5,48.04741247
2,2,NA,50,1,T5,69.97730452
2,2,NA,10,2,T5,69.29055132
2,2,NA,25,2,T5,79.49936109
2,2,NA,50,2,T5,55.61987158
2,3,NA,10,1,T5,87.36187122
2,3,NA,25,1,T5,93.29969621
2,3,NA,50,1,T5,87.59683449
2,3,NA,10,2,T5,100
2,3,NA,25,2,T5,93.75333016
2,3,NA,50,2,T5,90.7562479
2,4,NA,10,1,T5,93.44433164
2,4,NA,25,1,T5,94.84337761
2,4,NA,50,1,T5,97.86693692
2,4,NA,10,2,T5,90.63651612
2,4,NA,25,2,T5,88.96159154
2,4,NA,50,2,T5,87.52758077
1,1,O,10,1,T6,73.81119829
1,1,O,25,1,T6,70.81289192
1,1,O,50,1,T6,40.70136363
1,1,O,10,2,T6,74.68186705
1,1,O,25,2,T6,77.63667059
1,1,O,50,2,T6,63.5307226
1,1,U,10,1,T6,69.3493615
1,1,U,25,1,T6,64.04457242
1,1,U,50,1,T6,67.49421406
1,1,U,10,2,T6,72.8716282
1,1,U,25,2,T6,75.64778067
1,1,U,50,2,T6,70.59521872
1,2,NA,10,1,T6,75.17414397
1,2,NA,25,1,T6,77.48964937
1,2,NA,50,1,T6,91.38138505
1,2,NA,10,2,T6,54.65344775
1,2,NA,25,2,T6,61.65498111
1,2,NA,50,2,T6,72.88649313
1,3,NA,10,1,T6,27.14171424
1,3,NA,25,1,T6,75.36255539
1,3,NA,50,1,T6,34.43343032
1,3,NA,10,2,T6,77.64551804
1,3,NA,25,2,T6,89.06915416
1,3,NA,50,2,T6,76.36874694
1,4,NA,10,1,T6,100
1,4,NA,25,1,T6,90.66213493
1,4,NA,50,1,T6,92.48092539
1,4,NA,10,2,T6,82.60765281
1,4,NA,25,2,T6,77.28889535
1,4,NA,50,2,T6,82.85891831
2,1,O,10,1,T6,82.34624756
2,1,O,25,1,T6,81.32382128
2,1,O,50,1,T6,85.8458621
2,1,O,10,2,T6,84.15081832
2,1,O,25,2,T6,88.46710298
2,1,O,50,2,T6,72.07900047
2,1,U,10,1,T6,84.98239514
2,1,U,25,1,T6,82.12749895
2,1,U,50,1,T6,74.45983267
2,1,U,10,2,T6,36.72046833
2,1,U,25,2,T6,82.33839216
2,1,U,50,2,T6,80.80470224
2,2,NA,10,1,T6,77.31689556
2,2,NA,25,1,T6,57.42057408
2,2,NA,50,1,T6,57.46836281
2,2,NA,10,2,T6,69.02562712
2,2,NA,25,2,T6,76.38524514
2,2,NA,50,2,T6,69.44215327
2,3,NA,10,1,T6,90.64170403
2,3,NA,25,1,T6,85.81362922
2,3,NA,50,1,T6,94.6509368
2,3,NA,10,2,T6,86.65695074
2,3,NA,25,2,T6,65.93276794
2,3,NA,50,2,T6,85.73594355
2,4,NA,10,1,T6,86.70795382
2,4,NA,25,1,T6,94.77799822
2,4,NA,50,1,T6,83.09869077
2,4,NA,10,2,T6,90.75569273
2,4,NA,25,2,T6,86.39657254
2,4,NA,50,2,T6,78.50151267
