Site ID,Basin ID,Wetland Type,Plot,Sampling Event,Bag ID,Mass Remaining (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,3,T2,44,42.44269404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,1,T2,181,48.96334479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,2,T2,186,58.54005857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,3,T2,189,36.32323862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,1,T2,111,70.16122153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,2,T2,113,60.64066146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,3,T2,116,68.56861738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,1,T2,169,40.51431558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,2,T2,173,37.99959622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,3,T2,176,37.17957904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,1,T3,264,49.88131245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,2,T3,268,55.64793817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,3,T3,273,50.09892097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,1,T3,135,55.0469978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,2,T3,137,55.2902956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,3,T3,141,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,1,T3,279,59.37565777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,2,T3,282,61.54681263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,3,T3,287,63.7179675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,1,T3,192,60.49515376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,2,T3,199,64.62140661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,3,T3,200,68.85483485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,1,T3,254,58.20483825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,2,T3,257,65.00510442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,3,T3,260,47.97723792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,1,T3,219,55.42488756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,2,T3,220,45.17001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,3,T3,226,48.7026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,1,T3,144,63.42684672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,2,T3,151,62.52480276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,3,T3,155,63.79429317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,1,T3,48,19.8204268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,2,T3,52,32.12204369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,3,T3,58,29.66330586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,1,T3,63,70.97294279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
