Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Developed:All,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Developed:All,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Grassland:All,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.02,,,,,
,,,,,Grassland:All,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.02,,,,,
,,,,,Grassland:All,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.25,,,,,
,,,,,Grassland:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.25,,,,,
,,,,,Grassland:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.5,,,,,
,,,,,Grassland:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
,,,,,Grassland:All,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Grassland:All,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Grassland:All,,,Decay: AG Fast -> AG Slow [Type],,0.024,,,,,
,,,,,Grassland:All,,,Decay: AG Medium -> AG Slow [Type],,0.0062,,,,,
,,,,,Grassland:All,,,Decay: AG Very Fast -> AG Slow [Type],,0.064,,,,,
,,,,,Grassland:All,,,Decay: BG Fast -> BG Slow [Type],,0.024,,,,,
,,,,,Grassland:All,,,Decay: BG Very Fast -> BG Slow [Type],,0.0835,,,,,
,,,,,Grassland:All,,,Decay: Snag Branch -> AG Slow [Type],,0.012,,,,,
,,,,,Grassland:All,,,Decay: Snag Stem -> AG Slow [Type],,0.0031,,,,,
,,,,,Grassland:All,,,Emission: AG Fast -> Atmosphere [Type],,0.117,,,,,
,,,,,Grassland:All,,,Emission: AG Medium -> Atmosphere [Type],,0.0305,,,,,
,,,,,Grassland:All,,,Emission: AG Slow -> Atmosphere [Type],,0.0146,,,,,
,,,,,Grassland:All,,,Emission: AG Very Fast -> Atmosphere [Type],,0.2822,,,,,
,,,,,Grassland:All,,,Emission: BG Fast -> Atmosphere [Type],,0.117,,,,,
,,,,,Grassland:All,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,,,,Grassland:All,,,Emission: BG Very Fast -> Atmosphere [Type],,0.4077,,,,,
,,,,,Grassland:All,,,Emission: Snag Branch -> Atmosphere [Type],,0.0585,,,,,
,,,,,Grassland:All,,,Emission: Snag Stem -> Atmosphere [Type],,0.0152,,,,,
,,,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Coarse Roots [Type],,0,,,,,
,,,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Fine Roots [Type],,0.535,,,,,
,,,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Foliage [Type],,0.465,,,,,
,,,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Merchantable [Type],,0,,,,,
,,,,,Grassland:All,,,Net Growth Grassland: Atmosphere -> Other Wood [Type],,0,,,,,
,,,,,Grassland:All,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Grassland:All,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Grassland:All,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Shrubland:All,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.02,,,,,
,,,,,Shrubland:All,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.02,,,,,
,,,,,Shrubland:All,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.2499,,,,,
,,,,,Shrubland:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.2499,,,,,
,,,,,Shrubland:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.4575,,,,,
,,,,,Shrubland:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
,,,,,Shrubland:All,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Shrubland:All,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Shrubland:All,,,Decay: AG Fast -> AG Slow [Type],,0.0298,,,,,
,,,,,Shrubland:All,,,Decay: AG Medium -> AG Slow [Type],,0.0078,,,,,
,,,,,Shrubland:All,,,Decay: AG Very Fast -> AG Slow [Type],,0.0871,,,,,
,,,,,Shrubland:All,,,Decay: BG Fast -> BG Slow [Type],,0.0298,,,,,
,,,,,Shrubland:All,,,Decay: BG Very Fast -> BG Slow [Type],,0.1039,,,,,
,,,,,Shrubland:All,,,Decay: Snag Branch -> AG Slow [Type],,0.0149,,,,,
,,,,,Shrubland:All,,,Decay: Snag Stem -> AG Slow [Type],,0.0039,,,,,
,,,,,Shrubland:All,,,Emission: AG Fast -> Atmosphere [Type],,0.1455,,,,,
,,,,,Shrubland:All,,,Emission: AG Medium -> Atmosphere [Type],,0.0379,,,,,
,,,,,Shrubland:All,,,Emission: AG Slow -> Atmosphere [Type],,0.0199,,,,,
,,,,,Shrubland:All,,,Emission: AG Very Fast -> Atmosphere [Type],,0.3836,,,,,
,,,,,Shrubland:All,,,Emission: BG Fast -> Atmosphere [Type],,0.1455,,,,,
,,,,,Shrubland:All,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,,,,Shrubland:All,,,Emission: BG Very Fast -> Atmosphere [Type],,0.5071,,,,,
,,,,,Shrubland:All,,,Emission: Snag Branch -> Atmosphere [Type],,0.0728,,,,,
,,,,,Shrubland:All,,,Emission: Snag Stem -> Atmosphere [Type],,0.019,,,,,
,,,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Coarse Roots [Type],,0.0727,,,,,
,,,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Fine Roots [Type],,0.4622,,,,,
,,,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Foliage [Type],,0.3922,,,,,
,,,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Merchantable [Type],,0,,,,,
,,,,,Shrubland:All,,,Net Growth Shrubland: Atmosphere -> Other Wood [Type],,0.0727,,,,,
,,,,,Shrubland:All,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Shrubland:All,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Shrubland:All,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Unconsolidated Shore:All,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.01,,,,,
,,,,,Unconsolidated Shore:All,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.01,,,,,
,,,,,Unconsolidated Shore:All,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.3205,,,,,
,,,,,Unconsolidated Shore:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.3205,,,,,
,,,,,Unconsolidated Shore:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.15,,,,,
,,,,,Unconsolidated Shore:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
